"MSPEC","Area.hd","Area_mm2.hd","Major_mm.hd","Minor_mm.hd","Lum_Mean.hd","Lum_StdDev.hd","Lum_Mode.hd","X_Mean.hd","X_StdDev.hd","X_Mode.hd","Y_Mean.hd","Y_StdDev.hd","Y_Mode.hd","Z_Mean.hd","Z_StdDev.hd","Z_Mode.hd","Sat_Mean.hd","Sat_StdDev.hd","Sat_Mode.hd","Area.fd","Area_mm2.fd","Major_mm.fd","Minor_mm.fd","Lum_Mean.fd","Lum_StdDev.fd","Lum_Mode.fd","X_Mean.fd","X_StdDev.fd","X_Mode.fd","Y_Mean.fd","Y_StdDev.fd","Y_Mode.fd","Z_Mean.fd","Z_StdDev.fd","Z_Mode.fd","Sat_Mean.fd","Sat_StdDev.fd","Sat_Mode.fd","Area.fv","Area_mm2.fv","Major_mm.fv","Minor_mm.fv","Lum_Mean.fv","Lum_StdDev.fv","Lum_Mode.fv","X_Mean.fv","X_StdDev.fv","X_Mode.fv","Y_Mean.fv","Y_StdDev.fv","Y_Mode.fv","Z_Mean.fv","Z_StdDev.fv","Z_Mode.fv","Sat_Mean.fv","Sat_StdDev.fv","Sat_Mode.fv","Area.hv","Area_mm2.hv","Major_mm.hv","Minor_mm.hv","Lum_Mean.hv","Lum_StdDev.hv","Lum_Mode.hv","X_Mean.hv","X_StdDev.hv","X_Mode.hv","Y_Mean.hv","Y_StdDev.hv","Y_Mode.hv","Z_Mean.hv","Z_StdDev.hv","Z_Mode.hv","Sat_Mean.hv","Sat_StdDev.hv","Sat_Mode.hv","Area.v1","Area_mm2.v1","Major_mm.v1","Minor_mm.v1","Lum_Mean.v1","Lum_StdDev.v1","Lum_Mode.v1","X_Mean.v1","X_StdDev.v1","X_Mode.v1","Y_Mean.v1","Y_StdDev.v1","Y_Mode.v1","Z_Mean.v1","Z_StdDev.v1","Z_Mode.v1","Sat_Mean.v1","Sat_StdDev.v1","Sat_Mode.v1"
"757",32156,974.4242,6.8305,5.5041,0.0851,0.065,0.0389,3.3,2.181,2.4832,-9.4195,7.8318,-5.1214,0.0911,5.4319,3.7059,11.7538,7.5546,6.7504,35529,1076.6364,8.5597,4.8529,0.1184,0.0749,0.0562,4.0768,2.209,3.0917,-12.0868,8.5346,-6.1503,-2.3619,5.2604,-9.5473,14.0701,8.7012,7.4022,31122,943.0909,8.4392,4.3117,0.1553,0.0802,0.0568,4.1285,1.8389,4.312,-12.7409,7.1574,-6.4457,-5.0963,4.8077,-11.1239,14.986,7.6479,7.9381,22294,675.5758,7.0426,3.7012,0.1754,0.0565,0.1688,4.2859,1.6109,4.1,-13.3318,4.1706,-13.2001,-7.1288,2.9891,-5.7578,15.9733,4.55,16.1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796",44209,1426.0968,9.1191,6.4231,0.125,0.0358,0.1249,0.0714,1.4318,0.6698,-2.8416,2.86,-4.3449,-2.3325,2.7007,-3.4169,5.171,2.0748,5.7378,47340,1527.0968,10.7519,5.8335,0.137,0.0248,0.1374,0.7192,1.1846,0.9457,-3.8268,2.8222,-5.1792,-2.5822,2.4689,-3.8633,5.8045,1.8975,6.6528,47460,1530.9677,10.5931,5.936,0.2018,0.0327,0.2009,0.6785,1.057,0.7387,-4.1776,1.5118,-4.37,-4.8658,1.5653,-4.9743,6.6625,1.747,6.6048,42941,1385.1935,9.0089,6.3152,0.1693,0.035,0.1691,0.5444,1.527,0.7266,-4.3895,2.198,-4.8344,-4.9778,2.0128,-5.3083,7.198,1.9356,7.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797",40038,1291.5484,8.4955,6.2441,0.1236,0.04,0.1127,0.4398,1.6112,0.8079,-1.2548,4.2732,-3.5614,-0.0039,4.3022,-2.7545,5.5539,3.2071,4.908,46046,1485.3548,10.5993,5.7557,0.1399,0.0304,0.1356,0.9354,1.1853,1.1585,-3.1836,3.2514,-4.4685,-1.8905,3.3877,-3.0649,5.785,2.1377,5.7064,46199,1490.2903,10.3687,5.9033,0.2212,0.0376,0.2005,0.6968,1.0269,0.587,-3.7886,1.4958,-4.2373,-4.7164,1.3626,-5.3778,6.2946,1.6156,6.5024,39635,1278.5484,8.4355,6.2252,0.2112,0.0383,0.1983,0.5097,1.3775,0.7929,-3.9888,1.916,-4.2337,-5.1552,1.5089,-5.5081,6.925,1.6236,6.9356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805",181962,5514,15.7749,13.4864,0.5025,0.0854,0.5341,-0.5496,0.7433,-0.4566,-16.4762,6.2515,-22.5193,-13.9539,4.2941,-17.6892,21.7013,7.3216,28.5196,155871,4723.3636,17.5889,10.3612,0.4021,0.1832,0.5167,0.1895,1.4989,-0.3498,-16.5035,7.0964,-19.3257,-11.8231,6.4585,-15.6402,20.8709,8.4207,26.4992,158320,4797.5758,17.8702,10.3583,0.4769,0.1295,0.5493,0.3079,1.9956,-0.5199,-16.7784,5.7116,-20.782,-15.1835,5.1197,-19.1394,22.8663,7.2179,28.0771,182787,5539,16.1001,13.274,0.5219,0.1026,0.574,-0.0877,1.2275,-0.4272,-18.7172,3.2893,-20.3429,-17.9246,3.3988,-19.9759,26.0082,4.3687,28.5298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",23051,743.5806,6.8177,4.4796,0.0895,0.0376,0.069,-0.2864,1.6726,-0.0093,-0.8203,2.6414,-1.0665,-0.3646,2.5771,0.3767,3.6459,2.0027,2.3396,29908,964.7742,8.3807,4.7282,0.0988,0.0313,0.0888,0.0474,1.4128,0.1216,-1.3795,2.3584,-1.6919,-0.8838,1.9611,-0.7074,3.3384,1.7161,2.4145,31385,1012.4194,8.5746,4.8495,0.1981,0.0386,0.1991,0.4478,1.1262,0.326,-3.0797,1.7738,-3.1948,-5.0538,1.8079,-4.8335,6.2789,1.8666,6.4483,24143,778.8065,6.9454,4.6056,0.2102,0.0452,0.2256,0.1799,1.2624,0.2899,-3.1535,1.7782,-2.916,-5.1022,1.9846,-5.5171,6.4614,1.7187,6.8131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845",19034,594.8125,5.9294,3.9914,0.1345,0.0328,0.1424,-0.5771,1.3258,-0.5358,4.0578,4.8665,8.9667,5.4854,5.4574,10.7771,8.9566,4.6786,13.8138,24308,759.625,7.5106,4.0242,0.1331,0.0315,0.142,-0.639,1.4328,-1.0737,2.5031,3.8638,5.6402,4.3584,4.7143,9.3187,6.984,4.0122,3.0136,23123,722.5938,7.1072,4.0453,0.2214,0.0347,0.2132,0.4413,0.882,0.2702,-3.0072,1.5517,-2.9939,-5.0066,1.7216,-4.744,6.0376,2.0003,5.511,19917,622.4062,6.1601,4.0202,0.2502,0.0482,0.2358,0.1653,1.0559,0.0126,-3.0519,1.5429,-3.0651,-5.1507,2.047,-5.3654,6.3894,1.6529,6.1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848",23634,762.3871,6.5482,4.7819,0.0804,0.0257,0.0715,-0.4481,1.3711,-0.1348,-0.8821,2.0207,-1.5995,-1.4419,1.737,-1.5718,3.0497,1.6545,2.1095,29763,960.0968,8.1059,4.8648,0.0848,0.0218,0.0716,-0.1355,1.2276,0.0341,-1.3548,1.9507,-1.9385,-1.4112,1.3948,-1.524,3.0066,1.4364,2.3043,29360,947.0968,8.2407,4.7204,0.1719,0.0273,0.1801,0.7789,0.9349,0.829,-3.3948,1.5147,-3.5745,-4.9205,1.3383,-5.2012,6.1873,1.7376,6.5676,22184,715.6129,6.451,4.5562,0.1997,0.0373,0.1923,0.7969,1.0612,1.1522,-4.4658,1.5687,-4.5849,-5.7794,1.6413,-5.9595,7.5981,1.5904,7.8387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",25702,755.9412,6.5512,4.3211,0.0436,0.0088,0.0421,-1.5895,1.4077,-1.433,5.0697,1.6446,4.8586,8.543,1.0609,8.5553,10.2526,1.3809,10.2762,30367,893.1471,8.0294,4.1655,0.5447,0.1891,0.6749,-0.7904,0.9693,-0.9362,-1.1684,1.8973,-1.7991,-16.8645,6.5155,-21.0029,17.5907,4.8948,21.1806,29001,852.9706,7.533,4.2403,0.1683,0.2125,0.0447,-0.8076,1.9159,-1.0789,2.5878,3.3263,5.1952,0.5845,10.2852,7.9183,10.4686,4.3146,8.9798,22444,660.1176,6.7277,3.6744,0.1861,0.199,0.0352,1.099,2.2398,2.1933,-0.9111,7.0594,-1.2278,-2.0251,9.5117,1.4437,9.7541,7.5044,3.6527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931",26140,746.8571,6.4301,4.2254,0.1049,0.0603,0.0792,3.1661,1.7935,2.7823,-8.0372,5.7977,-5.4255,-1.2729,4.3015,-0.417,9.9321,5.738,6.6696,31610,903.1429,7.9783,4.118,0.166,0.0697,0.1162,3.1487,1.5163,3.137,-10.3277,5.7439,-6.4749,-4.6397,3.5515,-2.0925,12.0848,6.3218,6.2312,29782,850.9143,7.3991,4.1836,0.1844,0.0867,0.0885,3.4281,1.4948,3.4249,-10.7173,5.921,-6.5711,-5.4968,4.2686,-4.5123,12.9913,6.6006,6.963,23185,662.4286,6.6778,3.6087,0.2309,0.067,0.2227,3.319,1.5453,3.067,-12.1204,4.3766,-10.3292,-7.7803,2.7441,-6.2726,15.0001,4.7456,11.8988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950",459688,13929.9394,24.8081,21.6647,0.0538,0.0501,0.0096,2.11,3.4867,4.1378,-2.9045,5.9242,-3.1673,3.1001,6.176,-0.7576,9.2877,4.6511,8.6129,587997,17818.0909,32.2807,21.2968,0.0328,0.072,0.0062,-2.5646,6.6135,0.3155,6.5344,6.8581,1.916,11.9816,6.1618,16.0642,15.5903,8.861,7.2978,577097,17487.7879,32.5308,20.7413,0.0789,0.0742,0.0407,3.0534,2.1462,3.9041,-4.7061,3.6965,-6.7507,0.1188,3.1198,-0.9888,7.2178,2.7189,7.8195,492242,14916.4242,25.6239,22.4603,0.0656,0.0329,0.0513,4.3105,1.6217,4.6023,-8.3269,2.8347,-8.8844,-1.8179,2.3257,-1.8422,10.0786,2.3913,10.7271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
