ID,Family,Binomial,Ndaphnia,Sex,X240m,nbut,death.p,Phylo
ao3,Lycaenidae,Zizina otis,10,Male,1,2,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
ao1,Lycaenidae,Zizina otis,10,Male,0,2,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
ao2,Lycaenidae,Zizina otis,10,Female,4,2,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3513,Lycaenidae,Zizina otis,10,Female,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3585,Lycaenidae,Zizina otis,10,Female,8,1,0.8,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1017,Lycaenidae,Zizina otis,10,Female,6,1,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
bbg1,Lycaenidae,Zizina otis,10,Male,4,2,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1040,Lycaenidae,Zizina otis,10,Female,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
996,Lycaenidae,Zizina otis,10,Female,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
998,Lycaenidae,Zizina otis,10,Male,8,1,0.8,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
bg3,Lycaenidae,Zizina otis,10,Male,5,2,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
bg4,Lycaenidae,Zizina otis,10,Male,10,2,1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
bg2,Lycaenidae,Zizina otis,10,Male,2,2,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
bg1,Lycaenidae,Zizina otis,10,Male,3,2,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3232,Lycaenidae,Zizina otis,10,Male,4,1,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
CC1,Lycaenidae,Zizina otis,10,Male,2,2,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
CC4,Lycaenidae,Zizina otis,10,Male,5,2,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
CC2,Lycaenidae,Zizina otis,10,Male,2,2,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
CC3,Lycaenidae,Zizina otis,10,Male,7,2,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jb2,Lycaenidae,Zizina otis,10,Male,0,2,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3674,Lycaenidae,Zizina otis,10,Female,1,1,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3630,Lycaenidae,Zizina otis,10,Male,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jb1,Lycaenidae,Zizina otis,10,Female,6,2,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3701,Lycaenidae,Zizina otis,10,Male,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
127,Lycaenidae,Zizina otis,10,Female,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jcu1,Lycaenidae,Zizina otis,10,Male,5,2,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jcu8,Lycaenidae,Zizina otis,10,Male,1,2,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jcu3,Lycaenidae,Zizina otis,10,Female,9,2,0.9,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
329,Lycaenidae,Zizina otis,10,Male,7,1,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
jcu5,Lycaenidae,Zizina otis,10,Male,7,2,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1113,Lycaenidae,Zizina otis,10,Female,10,1,1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1127,Lycaenidae,Zizina otis,10,Female,4,1,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3074,Lycaenidae,Zizina otis,10,Male,2,1,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1125,Lycaenidae,Zizina otis,10,Female,5,1,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
1199,Lycaenidae,Zizina otis,10,Female,1,1,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
mr4,Lycaenidae,Zizina otis,10,Male,4,2,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
399,Lycaenidae,Zizina otis,10,Male,7,1,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
2419,Lycaenidae,Zizina otis,10,Female,8,1,0.8,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
mr3,Lycaenidae,Zizina otis,10,Male,6,2,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
586,Lycaenidae,Zizina otis,10,Male,7,1,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
2552,Lycaenidae,Zizina otis,10,Male,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
mr2,Lycaenidae,Zizina otis,10,Male,6,2,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
