"MSPEC","CIE_L.hd","CIE_a.hd","CIE_b.hd","R.hd","G.hd","B.hd","CIE_L.fd","CIE_a.fd","CIE_b.fd","R.fd","G.fd","B.fd","CIE_L.fv","CIE_a.fv","CIE_b.fv","R.fv","G.fv","B.fv","CIE_L.hv","CIE_a.hv","CIE_b.hv","R.hv","G.hv","B.hv"
"757",32.6564,6.7353,21.5668,97.5317,72.844,40.2634,38.9667,8.8114,27.5174,118.5405,86.3684,43.32,44.9704,9.3,30.2367,135.9578,100.3079,53.3268,48.9238,9.3773,31.9306,146.966,109.407,61.361
"796",41.7682,3.3819,8.895,109.7737,96.319,84.1391,43.8919,4.3428,11.0519,117.7349,100.7607,85.6499,52.2328,3.9056,13.339,139.8324,121.5867,102.0637,48.2699,3.4837,13.0771,128.7972,111.9681,92.7587
"797",41.1773,4.9892,5.7377,108.739,94.2361,87.9154,44.0893,5.0369,9.8921,118.5724,100.8901,88.0267,54.2738,4.0888,12.8918,145.3402,126.73,107.9347,53.2204,3.4045,13.261,141.6003,124.4198,104.6178
"805",77.8508,-7.2376,55.5956,210.0247,193.9975,80.5291,67.8692,-4.7129,52.5405,185.7686,167.2214,60.604,75.4545,-4.5665,54.4988,207.274,186.3365,77.3846,79.0215,-7.0706,61.9923,216.4097,196.9549,71.5829
"811",35.1433,3.7112,4.1043,91.2279,80.6582,76.3875,37.1371,4.0185,5.2645,97.1635,85.0023,79.171,51.5833,3.763,10.7233,136.6129,120.3575,105.0555,52.9042,2.9515,11.3291,138.9687,124.0043,107.1115
"845",42.4015,6.4556,-5.652,105.8718,97.063,109.4557,42.4809,5.0421,-2.1701,106.6947,97.8457,104.148,54.2538,3.8592,11.0507,143.9489,127.0256,111.1682,57.0819,3.0187,11.8259,150.4491,134.6553,116.7111
"848",33.6603,3.0976,4.4572,86.9593,77.3111,72.2245,34.6826,3.4295,5.2222,90.388,79.5366,73.4899,48.5393,4.3136,10.9668,129.7369,112.3635,97.2171,51.9105,3.8515,14.0484,139.4158,120.8339,100.0599
"883",23.9833,2.4602,-3.1338,58.5686,56.0429,61.7259,76.6951,1.4917,8.9467,200.202,188.9701,173.7767,38.8187,3.1071,0.7976,98.971,91.7667,91.6198,42.8541,5.5464,8.1486,116.3835,99.6533,87.6692
"931",37.1732,6.277,20.3295,107.8712,83.5582,53.9668,47.0324,6.8796,26.8352,136.7587,106.7317,65.3482,48.9251,7.6113,28.3479,143.4093,110.9506,67.0532,55.2929,7.2281,32.9037,161.5795,126.6305,74.4072
"950",24.4229,8.5082,6.4406,74.2653,54.1278,49.1379,14.6697,8.2064,-3.3988,47.0352,34.1339,42.8255,30.7607,9.0948,8.4535,91.0589,67.7923,60.3552,30.2891,10.0223,14.262,93.1846,65.2584,49.6885
