"ID","Family","Genus","Species","Sex","Exclude","Pinned","Body","Forewing left","Forewing right","Hindwing left","Hindwing right","Site","Latitude","Longitude","Climate","Date","Collector","Binomial"
1,"Hesperiidae","Telicota","augias","Male","Yes","No","n","y","n","y","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Telicota augias"
2,"Nymphalidae","Mycalesis","terminus","Male","No","No","n","n","n","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Mycalesis terminus"
3,"Lycaenidae","Zizina","otis","Male","No","No","n","y","y","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Zizina otis"
4,"Hesperiidae","Notocrypta","waigensis","Female","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Notocrypta waigensis"
5,"Nymphalidae","Mycalesis","terminus","Male","No","No","n","n","y","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Mycalesis terminus"
6,"Lycaenidae","Hypolycaena","phorbas","Female","No","No","n","n","n","y","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Hypolycaena phorbas"
7,"Lycaenidae","Zizina","otis","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Zizina otis"
8,"Pieridae","Delias","mysis","Male","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Delias mysis"
9,"Nymphalidae","Mycalesis","terminus","Male","No","No","n","n","n","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Mycalesis terminus"
10,"Nymphalidae","Mycalesis","terminus","Male","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Mycalesis terminus"
11,"Nymphalidae","Danaus","affinis","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Danaus affinis"
12,"Nymphalidae","Danaus","affinis","Female","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Danaus affinis"
13,"Pieridae","Delias","mysis","Male","Yes","Yes","n","n","n","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Delias mysis"
14,"Lycaenidae","Nacaduba","cyanea","Female","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Nacaduba cyanea"
15,"Nymphalidae","Cethosia","cydippe","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Cethosia cydippe"
16,"Hesperiidae","Telicota","mesoptis","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Telicota mesoptis"
17,"Nymphalidae","Mycalesis","terminus","Male","No","No","n","n","n","n","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Mycalesis terminus"
18,"Lycaenidae","Hypolycaena","phorbas","Female","No","No","n","y","y","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Hypolycaena phorbas"
19,"Hesperiidae","Telicota","mesoptis","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Telicota mesoptis"
20,"Nymphalidae","Cethosia","cydippe","Female","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","SP","Cethosia cydippe"
21,"Nymphalidae","Cethosia","cydippe","Male","No","No","n","n","y","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Cethosia cydippe"
22,"Nymphalidae","Junonia","hedonia","Male","No","No","n","y","y","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Junonia hedonia"
23,"Lycaenidae","Nacaduba","cyanea","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","MFE","Nacaduba cyanea"
24,"Nymphalidae","Hypolimnas","bolina","Female","Yes","Yes","n","y","y","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","HS","Hypolimnas bolina"
25,"Lycaenidae","Zizina","otis","Male","No","No","n","n","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","HS","Zizina otis"
26,"Lycaenidae","Zizina","otis","Male","No","No","n","y","n","n","n","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","HS","Zizina otis"
27,"Lycaenidae","Zizina","otis","Male","No","No","n","n","n","y","y","BG",-16.90136852,145.7505777,"Tropical","16/07/2022","HS","Zizina otis"
