species,sex,angle,visualModel,url,ROI
Sticky,,Dorsal,human,images/149.jpg,images/149.txt
Sticky,,Dorsal,bird,images/149-bird.jpg,images/149.txt
Sticky,,Dorsal,human,images/246.jpg,images/246.txt
Sticky,,Dorsal,bird,images/246-bird.jpg,images/246.txt
Sticky,,Dorsal,human,images/IMG_9025.jpg,images/IMG_9025.txt
Sticky,,Dorsal,bird,images/IMG_9025-bird.jpg,images/IMG_9025.txt
Sticky,,Dorsal,human,images/IMG_9278.jpg,images/IMG_9278.txt
Sticky,,Dorsal,bird,images/IMG_9278-bird.jpg,images/IMG_9278.txt
Sticky,,Dorsal,human,images/IMG_9280.jpg,images/IMG_9280.txt
Sticky,,Dorsal,bird,images/IMG_9280-bird.jpg,images/IMG_9280.txt
